dyad_id,initiator_country,receiver_country,incident_id,name,description,start_date,end_date,source_disclosure,operation_type,impact_indicator_score,impact_indicator_label,unweighted_intensity,weighted_intensity,number_attributions,number_political_responses,number_legal_responses,casualties,initiator_name,initiator_category,initiator_subcategory,receiver_id,receiver_name,receiver_category,receiver_subcategory,receiver_regions,offline_conflict_issue,offline_conflict_name,offline_conflict_intensity,offline_conflict_intensity_subcode,cyber_conflict_issue,physical_effects_spatial,physical_effects_temporal,target_multiplier,functional_impact,intelligence_impact,economic_impact,economic_impact_value,economic_impact_currency,affected_entities,affected_entities_value,affected_eu_countries,affected_eu_countries_value,affected_third_countries,affected_third_countries_value,n_words,description_no_geo,topic,topic_prob,topic_label,topic_name,topic_group
1,Afghanistan,Pakistan,488,Afghan Cyber Army attack on Pakistan,"Afghan hackers deface six Pakistani government websites, leaving messages that accuse Pakistan of having orchestrated a suicide bombing in Kabul.",2013-07-11 00:00:00,2013-07-11 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Afghan Cyber Army,Non-state-group,Hacktivist(s),826_0,['Not available'],['State institutions / political system'],['Government / ministries'],"['ASIA', 'SASIA', 'SCO']",Third-party intervention / third-party affection,Not available,Yes / HIIK intensity,HIIK 3,International power,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,20.0,"hackers deface six government websites, leaving messages that accuse of having orchestrated a suicide bombing in .",0.0,1.0,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
1,Afghanistan,Pakistan,499,Afghan Cyber Army attack on Pakistan Part II,Afghan hackers hack the webpage of the Pakistani National Database and Registration Authority in retaliation against airstrikes in Kunar and Jalalabad.,2013-08-03 00:00:00,2013-08-03 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Afghan Cyber Army,Non-state-group,Hacktivist(s),837_0,['Not available'],['State institutions / political system'],['Civil service / administration'],"['ASIA', 'SASIA', 'SCO']",Third-party intervention / third-party affection,Not available,Yes / HIIK intensity,HIIK 3,Territory,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,21.0,hackers hack the webpage of the Pakistani National Database and Registration Authority in retaliation against airstrikes in and .,0.0,0.3387328851332795,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
2,Algeria,Algeria,525,Over-X vs. Algerian ministry of housing,"Algerian hacker Over-X hacks and defaces Algerian ministry of housing and urban planning over corruption and lack of housing, jobs.",2013-10-21 00:00:00,2013-10-21 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,2,2,1,0,0,Not available,Over-X,Individual hacker(s),Not available,864_0,['Not available'],['State institutions / political system'],['Government / ministries'],"['AFRICA', 'NAF', 'MENA']",National power,Not available,Yes / HIIK intensity,HIIK 3,System / ideology,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,20.0,"hacker Over-X hacks and defaces Algerian ministry of housing and urban planning over corruption and lack of housing, jobs.",0.0,0.4841385021800252,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
3,Algeria,France,866,TeamSystemDz defacement of western websites,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.",2016-04-14 00:00:00,2016-04-17 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,2,2,1,0,0,Not available,Team System Dz,Non-state-group,Terrorist(s),1373_2,['Not available'],"['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'WESTEU']",Unknown,Not available,Unknown,Not available,System / ideology,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,23.0,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the , , and the . In particular, it defaced several websites in .",0.0,0.2429046708964746,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
4,Algeria,Israel,866,TeamSystemDz defacement of western websites,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.",2016-04-14 00:00:00,2016-04-17 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,2,2,1,0,0,Not available,Team System Dz,Non-state-group,Terrorist(s),1374_2,['Not available'],"['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['ASIA', 'MENA', 'MEA']",Unknown,Not available,Unknown,Not available,System / ideology,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,23.0,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the , , and the . In particular, it defaced several websites in .",0.0,0.2429046708964746,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
6,Algeria,United Kingdom,866,TeamSystemDz defacement of western websites,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.",2016-04-14 00:00:00,2016-04-17 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,2,2,1,0,0,Not available,Team System Dz,Non-state-group,Terrorist(s),1375_2,['Not available'],"['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'NORTHEU']",Unknown,Not available,Unknown,Not available,System / ideology,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,23.0,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the , , and the . In particular, it defaced several websites in .",0.0,0.2429046708964746,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
7,Algeria,United States,866,TeamSystemDz defacement of western websites,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.",2016-04-14 00:00:00,2016-04-17 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,2,2,1,0,0,Not available,Team System Dz,Non-state-group,Terrorist(s),1372_2,['Not available'],"['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['NATO', 'NORTHAM']",Unknown,Not available,Unknown,Not available,System / ideology,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,23.0,"Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the , , and the . In particular, it defaced several websites in .",0.0,0.2429046708964746,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
8,Argentina,Argentina,529,Team HackingArgentino defaces Website of Argentinian Opposition Leader,"Hacktivists of Team HackingArgentino have breached and defaced the official website of Sergio Massa, the leader of the opposition in Argentina, leaving a message that he should keep his promises.",2013-10-27 00:00:00,2013-10-27 00:00:00,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Team Hacking Argentino,Non-state-group,Hacktivist(s),868_1,['Not available'],"['Social groups', 'State institutions / political system']","['Political parties', 'Political opposition / dissidents / expats']",['SOUTHAM'],Unknown,Not available,Unknown,Not available,National power,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,Not available,Not available,0,Not available,Not available,Not available,0,30.0,"Hacktivists of Team HackingArgentino have breached and defaced the official website of Sergio Massa, the leader of the opposition in , leaving a message that he should keep his promises.",0.0,0.3861456249806519,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
8,Argentina,Argentina,4103,"Cybercriminal group FOG launched a ransomware attack on Rossi Group, medical company in Argentina, around 23 November 2024","Around 23 November 2024, the Rossi Group, which includes Rossi, Stamboulian and Hidalgo Laboratory medical centers, suffered a ransomware cyberattack by the FOG group, which paralyzed the systems, lowered websites, and prevented patients from doing studies and taking turns. The attackers encrypted information and asked for a cryptocurrency ransom in return, but no deadline was given, and the company did not enter into negotiations. According to the company's CEO, Omar De Fornari, no patient data was compromised, but forensic analysis has not confirmed this.",2024-11-23 00:00:00,2024-11-23 00:00:00,Incident disclosed by victim,Ransomware & data theft extortion,5,Minor,2,2,1,0,1,Not available,FOG,Non-state-group,Criminal(s),7449_0,"['Stamboulian Health Services', 'Rossi Center', 'Hidalgo Laboratory']",['Critical infrastructure'],['Health'],['SOUTHAM'],Not available,Not available,Not available,Not available,Not available,Not available,Not available,Moderate - high political importance,No system interference/disruption,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,Not available,0,euro,1-10,3,Not available,Not available,1-10,1,84.0,"Around 23 November 2024, the Rossi Group, which includes , Stamboulian and Hidalgo Laboratory medical centers, suffered a ransomware cyberattack by the FOG group, which paralyzed the systems, lowered websites, and prevented patients from doing studies and taking turns. The attackers encrypted information and asked for a cryptocurrency ransom in return, but no deadline was given, and the company did not enter into negotiations. According to the company's CEO, Omar De Fornari, no patient data was compromised, but forensic analysis has not confirmed this.",2.0,0.1269127402334219,"the ransomware, ransomware, ransom, compromised, encrypted",Ransomware & Cyber Extortion,Financially Motivated Operations
9,Armenia,Azerbaijan,3,Armenian hacktivists target Azerbaijani webpages as part of a tit-for-tat between the nation`s hacktivists in February 2000,"In response to previous DDoS-operations against Armenian websites in January/February 2000, an Armenian hacker group called Liazor took down the webpages of many Azerbaijani users, humanitarian organization and newspapers as a revenge act.",2000-02-01 00:00:00,Not available,Incident disclosed by attacker,DDoS/Defacement,0,Not available,1,1,1,0,0,Not available,Liazor,Non-state-group,Hacktivist(s),3_0,['Not available'],['Social groups'],['Advocacy / activists (e.g. human rights organizations)'],"['ASIA', 'CENTAS']",Resources,Armenia - Azerbaijan,Yes / HIIK intensity,HIIK 1,Resources,Not available,Not available,Moderate - high political importance,Not available,Not available,Not available,0,euro,Not available,0,Not available,Not available,Not available,0,33.0,"In response to previous DDoS-operations against websites in January/February 2000, an hacker group called Liazor took down the webpages of many Azerbaijani users, humanitarian organization and newspapers as a revenge act.",0.0,0.148920571325762,"the government, attacked, gov, website of the, sites",Website Defacement & Hacktivism,Hacktivism
